x (mm),345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
z (mm),-80,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,80
P_atm (Pa),101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100
Temp ,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Slant angle (?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Target U_inf (m/s),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20

P_tot_y_-110=[-168.6761255,-168.5617468,-168.5315342,-167.7942739,-168.084561,-167.7527189,-167.4209605,-167.7768889,-167.9380953,-167.3958591,-167.5546009,-167.921456,-168.2314031,-168.4287625,-168.956589     ];
P_stat_y_200=[-423.4103044,-423.7081679,-423.5740366,-421.2254518,-422.9385208,-421.685225,-420.6937604,-421.8532179,-421.9556987,-420.3653639,-420.2703426,-421.737053,-422.4597695,-423.7978124,-422.3723709    ];
P_stat_y_160=[-421.1320639,-421.5346698,-421.4759466,-419.9644659,-420.8505184,-420.1959717,-419.5831207,-420.3816874,-420.8376316,-418.8176579,-419.1815887,-420.2923368,-420.9875759,-422.0170603,-420.07742    ];
P_stat_y_120=[-420.033021,-422.7962976,-423.5582379,-424.2210606,-425.2659775,-427.023173,-425.9576692,-427.1511378,-426.4793557,-423.8528134,-423.0146638,-421.8715901,-421.2356408,-422.4395645,-419.4188171    ];
P_stat_y_80=[-418.5721747,-424.1264753,-425.6368637,-426.3538519,-427.1955812,-425.4885393,-425.1097404,-426.8241848,-426.3834481,-426.2308551,-424.0584068,-421.6576298,-419.1526536,-419.3275252,-415.9478778   ];
P_stat_y_40=[-417.2616097,-421.2388008,-423.9471534,-424.4720502,-426.5392406,-423.8051814,-421.6237126,-423.5442108,-423.8255833,-421.7366866,-418.9119292,-417.7565493,-416.6036327,-416.7595259,-413.9297514   ];
P_stat_y_0=[-415.8890856,-417.0713645,-417.3941491,-415.3926593,-416.8266994,-415.6987133,-414.8949251,-416.4455363,-416.7856566,-415.7588443,-415.7026682,-416.7249585,-416.9080742,-417.2258728,-415.0131537    ];
P_stat_y_-40=[-412.8614062,-413.5280749,-413.0921764,-411.0025104,-412.2481424,-411.5115149,-410.604699,-411.9590932,-411.6711836,-410.3368986,-410.0912199,-411.479605,-412.5545525,-414.7253368,-413.5201186    ];
P_stat_y_-100=[-412.213524,-412.5508471,-411.8988606,-410.7585656,-411.0059946,-410.5856191,-410.1835712,-411.0143483,-411.1830879,-409.482878,-410.036739,-411.1193069,-411.8656534,-414.3196221,-414.3308469    ];
P_tot_Prandtl=[-169.3410668,-169.4853998,-169.3256869,-168.7207763,-169.0230868,-168.7748796,-168.4711819,-168.7934491,-168.7048695,-168.1801375,-168.2732986,-168.6804484,-168.8224579,-169.2585043,-168.529218  ];
P_stat_Prandtl=[-403.6712502,-403.9631003,-403.6374376,-401.7024387,-402.8605988,-402.0056859,-401.1323877,-402.290651,-402.0721069,-400.4332383,-400.5865309,-401.411264,-401.9817312,-403.4395234,-401.4705775  ];

==========================================================================================
MODIFIED

P_tot1=[-169.5633519,-169.7009052,-169.6366411,-168.8984978,-169.2925898,-168.9513142,-168.7372265,-168.9363595,-168.7626997,-168.3060171,-168.185376,-168.5950417,-168.8557788,-169.1191997,-168.3834403    ];
P_tot2=[-169.5626999,-169.6227537,-169.3390096,-169.0608288,-169.0030527,-168.5960322,-168.5324861,-168.7827193,-168.6102879,-168.1332638,-167.9496344,-168.3348924,-168.525056,-168.6524381,-168.2324838    ];
P_tot3=[-169.820195,-169.9028543,-169.6332902,-169.3298388,-169.2546275,-168.8180931,-168.8128166,-168.8279141,-168.9643437,-168.347732,-168.1347002,-168.789526,-168.5036177,-169.3995521,-168.6278541      ];
P_tot4=[-169.423034,-169.7929283,-169.9825505,-169.4234305,-171.9664306,-174.3516709,-175.2419417,-177.5344882,-176.9472752,-173.586189,-170.2817227,-168.7004664,-168.4679377,-169.0436103,-168.2882051     ];
P_tot5=[-169.5008268,-170.3641903,-172.0621601,-178.1598127,-189.0781107,-200.0199297,-208.7792485,-213.5782596,-212.7391728,-203.1844673,-187.5378718,-177.0235124,-171.1237664,-169.105008,-168.0744822    ];
P_tot6=[-169.6219127,-172.1824368,-177.7817301,-193.6741037,-218.5123404,-237.8404875,-245.8976415,-252.0052002,-252.5933877,-235.6749464,-214.6947269,-193.7586029,-177.4040869,-171.5608438,-168.3426444    ];
P_tot7=[-169.4304001,-173.3978155,-181.3106702,-198.9980409,-225.1123183,-249.4663,-266.5041883,-274.7159168,-271.7598051,-250.3683278,-225.276365,-199.5873702,-179.7910246,-172.735108,-168.2834271         ];
P_tot8=[-169.0867218,-170.8346241,-172.4876334,-180.5649011,-201.0988589,-225.8582218,-250.5709771,-270.6651967,-280.5796196,-272.1485383,-245.1464632,-220.8540015,-193.1660099,-179.151314,-168.65149       ];
P_tot9=[-169.3140024,-170.7247772,-172.8739768,-180.4247541,-198.2014235,-222.62586,-247.9135804,-271.8571009,-283.9292122,-273.6293643,-244.4994574,-220.928351,-191.3930541,-178.6827385,-168.7661232       ];
P_tot10=[-169.7839793,-173.2574545,-178.6225301,-193.7259702,-218.0359144,-247.752087,-271.6686807,-285.7185975,-282.170892,-255.4871372,-220.0791988,-196.3463301,-178.8040526,-172.6876192,-168.3430699      ];
P_tot11=[-169.5056172,-171.6858613,-174.492034,-180.5397467,-195.7435118,-223.4681381,-253.3609058,-277.3181336,-290.0862354,-280.8979815,-249.191872,-220.376562,-190.6999252,-179.7259885,-170.3694464       ];
P_tot12=[-171.7586475,-175.4006924,-177.877717,-186.2873819,-203.8180459,-228.9839507,-257.904823,-282.2798805,-292.9519145,-284.1983924,-255.8798888,-226.7697701,-199.5781361,-185.9787927,-175.6872101      ];
P_tot13=[-183.8715682,-188.4807289,-196.5562416,-215.962075,-240.0913113,-265.4671177,-282.7030715,-294.043284,-291.6151221,-273.1496992,-245.2957916,-222.327266,-201.9118856,-190.7732369,-186.6277629       ];
P_tot14=[-196.4037461,-200.2835017,-204.5507881,-218.7625566,-238.4541574,-260.7354968,-276.4711684,-287.5374787,-293.6582996,-288.8168024,-275.2970219,-258.4915167,-236.9284231,-218.9099176,-205.295284     ];
P_tot15=[-218.5504416,-221.3542327,-226.9399132,-242.2612361,-258.6641805,-272.8288264,-282.5879333,-287.4568268,-288.6321866,-286.4181635,-280.5474629,-271.3470919,-253.902727,-239.3553559,-226.3869545     ];
P_tot16=[-244.7239938,-246.2167218,-256.2060611,-266.0727004,-276.0430289,-278.9727007,-278.4342427,-277.5826673,-278.0031265,-277.9972152,-275.4680572,-269.1021598,-258.1033314,-251.2332936,-247.2485944    ];
P_tot17=[-250.3301292,-237.0749071,-228.0779949,-221.9793649,-222.9299582,-221.9394238,-223.4693017,-225.6642731,-222.3461947,-220.9063762,-222.0513831,-224.8335726,-231.525513,-239.7849961,-250.2865439    ];
P_tot18=[-186.68944,-178.1569821,-174.3511026,-170.9623781,-170.4426034,-171.5023944,-172.9043974,-174.9146103,-173.808669,-170.7142017,-169.7287823,-170.7346633,-173.5566937,-178.2643976,-190.0439686      ];
P_tot19=[-168.2824268,-168.481051,-168.0014064,-167.8697926,-167.4582049,-167.5559099,-167.6782902,-167.7218715,-167.6482812,-166.9978097,-166.9296746,-167.5987899,-167.7194217,-168.3166336,-167.6327383    ];
